food,calories,protein,carbs,fat
"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",568.5,27.3,0.0,11.4
"Carrots, frozen, unprepared",95.0,0.81,7.92,0.47
"Cheese, dry white, queso seco",843.0,24.5,2.07,24.3
"Cheese, ricotta, whole milk",407.0,7.81,6.86,11.0
"Cheese, swiss",1016.5,27.0,1.44,31.0
"Figs, dried, uncooked",644.5,3.3,63.9,0.92
"Lettuce, cos or romaine, raw",43.5,1.24,3.24,0.26
"Melons, cantaloupe, raw",87.5,0.82,8.16,0.18
"Oranges, raw, navels",121.5,0.91,11.8,0.15
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",111.0,3.38,5.18,0.95
"Pears, raw, bartlett",147.5,0.38,15.1,0.16
"Restaurant, Chinese, sweet and sour pork",675.0,8.88,25.5,13.6
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",89.0,3.43,4.92,0.08
"Sauce, salsa, ready-to-serve",75.5,1.44,6.74,0.19
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",129.5,3.36,4.9,1.9
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",849.0,13.3,3.37,28.7
"Sausage, Italian, pork, mild, cooked, pan-fried",836.0,18.2,2.15,26.2
"Sausage, pork, chorizo, link or ground, cooked, pan-fried",898.0,19.3,2.63,28.1
"Milk, whole, 3.25% milkfat, with added vitamin D",155.5,3.27,4.63,3.2
"Sausage, turkey, breakfast links, mild, raw",437.5,16.7,0.93,10.4
"Sugars, granulated",997.5,0.0,99.6,0.32
"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",571.0,27.1,0.0,11.6
"Ham, sliced, restaurant",314.0,19.6,2.36,3.68
"Cheese, American, restaurant",972.5,17.5,6.35,31.1
"Broccoli, raw",81.5,2.57,6.27,0.34
"Strawberries, raw",81.5,0.64,7.63,0.22
"Ketchup, restaurant",302.5,1.11,26.8,0.55
"Eggs, Grade A, Large, egg white",143.0,10.7,2.36,0.0
"Eggs, Grade A, Large, egg yolk",867.0,16.2,1.02,28.8
"Eggs, Grade A, Large, egg whole",382.5,12.4,0.96,9.96
